code,name,product_type,effective_from,effective_to,source,quality
588010,科创新材料ETF博时,ETF,2022-10-26,,initial_current_pool_backfill,partial_survivorship_bias
588200,科创芯片ETF嘉实,ETF,2022-10-26,,initial_current_pool_backfill,partial_survivorship_bias
560980,光伏龙头ETF广发,ETF,2022-11-29,,initial_current_pool_backfill,partial_survivorship_bias
513310,中韩半导体ETF华泰柏瑞,ETF,2022-12-22,,initial_current_pool_backfill,partial_survivorship_bias
159687,亚太精选ETF南方,ETF,2022-12-30,,initial_current_pool_backfill,partial_survivorship_bias
159682,创业板50ETF景顺,ETF,2023-01-03,,initial_current_pool_backfill,partial_survivorship_bias
513650,标普500ETF南方,ETF,2023-04-04,,initial_current_pool_backfill,partial_survivorship_bias
501225,全球芯片LOF,LOF,2023-04-14,,initial_current_pool_backfill,partial_survivorship_bias
159686,A100ETF易方达,ETF,2023-07-19,,initial_current_pool_backfill,partial_survivorship_bias
159516,半导体设备ETF国泰,ETF,2023-07-27,,initial_current_pool_backfill,partial_survivorship_bias
159519,港股国企ETF国泰,ETF,2023-08-31,,initial_current_pool_backfill,partial_survivorship_bias
563300,中证2000ETF华泰柏瑞,ETF,2023-09-14,,initial_current_pool_backfill,partial_survivorship_bias
588220,科创100ETF鹏华,ETF,2023-09-15,,initial_current_pool_backfill,partial_survivorship_bias
159538,信创ETF富国,ETF,2023-09-22,,initial_current_pool_backfill,partial_survivorship_bias
563330,A股ETF华泰柏瑞,ETF,2023-11-07,,initial_current_pool_backfill,partial_survivorship_bias
513750,港股通非银ETF广发,ETF,2023-11-27,,initial_current_pool_backfill,partial_survivorship_bias
513350,标普油气ETF富国,ETF,2023-11-28,,initial_current_pool_backfill,partial_survivorship_bias
510980,上证指数ETF汇添富,ETF,2023-12-01,,initial_current_pool_backfill,partial_survivorship_bias
513630,港股低波红利ETF摩根,ETF,2023-12-08,,initial_current_pool_backfill,partial_survivorship_bias
159350,深证50ETF富国,ETF,2023-12-11,,initial_current_pool_backfill,partial_survivorship_bias
562600,医疗器械ETF华夏,ETF,2023-12-11,,initial_current_pool_backfill,partial_survivorship_bias
563020,红利低波ETF易方达,ETF,2023-12-14,,initial_current_pool_backfill,partial_survivorship_bias
159572,创业板200ETF易方达,ETF,2023-12-25,,initial_current_pool_backfill,partial_survivorship_bias
159502,标普生物科技ETF嘉实,ETF,2024-01-10,,initial_current_pool_backfill,partial_survivorship_bias
159530,机器人ETF易方达,ETF,2024-01-18,,initial_current_pool_backfill,partial_survivorship_bias
159562,黄金股ETF华夏,ETF,2024-01-22,,initial_current_pool_backfill,partial_survivorship_bias
159529,标普消费ETF景顺,ETF,2024-02-02,,initial_current_pool_backfill,partial_survivorship_bias
513400,道琼斯ETF鹏华,ETF,2024-02-02,,initial_current_pool_backfill,partial_survivorship_bias
159563,创业板综ETF华夏,ETF,2024-02-23,,initial_current_pool_backfill,partial_survivorship_bias
159577,美国50ETF汇添富,ETF,2024-02-23,,initial_current_pool_backfill,partial_survivorship_bias
159565,汽车零部件ETF易方达,ETF,2024-02-26,,initial_current_pool_backfill,partial_survivorship_bias
159595,中证A50ETF大成,ETF,2024-03-18,,initial_current_pool_backfill,partial_survivorship_bias
511130,30年国债ETF博时,ETF,2024-03-28,,initial_current_pool_backfill,partial_survivorship_bias
561760,油气ETF博时,ETF,2024-04-29,,initial_current_pool_backfill,partial_survivorship_bias
159561,德国ETF嘉实,ETF,2024-04-30,,initial_current_pool_backfill,partial_survivorship_bias
510950,上证50ETF广发,ETF,2024-05-10,,initial_current_pool_backfill,partial_survivorship_bias
159578,深证主板50ETF南方,ETF,2024-06-07,,initial_current_pool_backfill,partial_survivorship_bias
159329,沙特ETF南方,ETF,2024-07-16,,initial_current_pool_backfill,partial_survivorship_bias
